site,process_capex_multiplier,process_capex_per_kw,price_EUR_per_kg,operating_EUR_per_day,capex_EUR,capital_EUR_per_day,net_EUR_per_day,payback_years
Seville,0.625,1375.0,6.0,704.9933399376497,1632439.528727138,537.1284731785458,167.8648667591039,11.333333333333345
Seville,0.75,1650.0,6.0,704.9933399376497,1779927.4344725653,583.924776324219,121.06856361343074,13.333333333333359
Seville,0.875,1925.0,6.0,704.9933399376497,1927415.340217993,630.7210794698923,74.27226046775746,16.416666666666703
Seville,1.0,2200.0,6.0,704.9933399376497,2074903.2459634205,677.5173826155656,27.47595732208418,19.583333333333325
London,0.25,550.0,2.0,151.66241032477947,1189975.8114908552,394.37246665215235,-242.71005632737285,inf
London,0.375,825.0,2.0,151.66241032477947,1337463.7172362828,441.1687697978257,-289.5063594730462,inf
London,0.5,1100.0,2.0,151.66241032477947,1484951.6229817104,487.96507294349897,-336.30266261871947,inf
London,0.625,1375.0,2.0,151.66241032477947,1632439.528727138,534.7613760891722,-383.09896576439286,inf
London,0.75,1650.0,2.0,151.66241032477947,1779927.4344725653,581.5576792348454,-429.895268910066,inf
London,0.875,1925.0,2.0,151.66241032477947,1927415.340217993,628.3539823805187,-476.6915720557393,inf
London,1.0,2200.0,2.0,151.66241032477947,2074903.2459634205,675.150285526192,-523.4878752014125,inf
London,0.25,550.0,3.0,240.32593835641572,1189975.8114908552,394.29219105527665,-153.96625269886093,inf
London,0.375,825.0,3.0,240.32593835641572,1337463.7172362828,441.08849420095,-200.76255584453426,inf
London,0.5,1100.0,3.0,240.32593835641572,1484951.6229817104,487.88479734662326,-247.55885899020754,inf
London,0.625,1375.0,3.0,240.32593835641572,1632439.528727138,534.6811004922967,-294.3551621358809,inf
London,0.75,1650.0,3.0,240.32593835641572,1779927.4344725653,581.4774036379698,-341.15146528155407,inf
London,0.875,1925.0,3.0,240.32593835641572,1927415.340217993,628.2737067836431,-387.94776842722735,inf
London,1.0,2200.0,3.0,240.32593835641572,2074903.2459634205,675.0700099293164,-434.7440715729006,inf
London,0.25,550.0,4.0,329.1509226380947,1189975.8114908552,394.2876269743882,-65.13670433629352,inf
London,0.375,825.0,4.0,329.1509226380947,1337463.7172362828,441.08393012006155,-111.93300748196685,inf
London,0.5,1100.0,4.0,329.1509226380947,1484951.6229817104,487.88023326573483,-158.72931062764013,inf
London,0.625,1375.0,4.0,329.1509226380947,1632439.528727138,534.6765364114082,-205.52561377331347,inf
London,0.75,1650.0,4.0,329.1509226380947,1779927.4344725653,581.4728395570813,-252.32191691898663,inf
London,0.875,1925.0,4.0,329.1509226380947,1927415.340217993,628.2691427027546,-299.1182200646599,inf
London,1.0,2200.0,4.0,329.1509226380947,2074903.2459634205,675.0654458484279,-345.9145232103332,inf
London,0.25,550.0,5.0,418.0181951634212,1189975.8114908552,394.28627563556455,23.73191952785665,17.83333333333335
London,0.375,825.0,5.0,418.0181951634212,1337463.7172362828,441.0825787812379,-23.064383617816684,inf
London,0.5,1100.0,5.0,418.0181951634212,1484951.6229817104,487.87888192691116,-69.86068676348997,inf
London,0.625,1375.0,5.0,418.0181951634212,1632439.528727138,534.6751850725844,-116.6569899091633,inf
London,0.75,1650.0,5.0,418.0181951634212,1779927.4344725653,581.4714882182576,-163.45329305483645,inf
London,0.875,1925.0,5.0,418.0181951634212,1927415.340217993,628.2677913639309,-210.24959620050973,inf
London,1.0,2200.0,5.0,418.0181951634212,2074903.2459634205,675.0640945096042,-257.04589934618303,inf
London,0.25,550.0,6.0,506.91380870063233,1189975.8114908552,394.27993870108287,112.63386999954947,11.916666666666682
London,0.375,825.0,6.0,506.91380870063233,1337463.7172362828,441.0762418467562,65.83756685387614,15.000000000000037
London,0.5,1100.0,6.0,506.91380870063233,1484951.6229817104,487.8725449924295,19.041263708202866,19.999999999999986
London,0.625,1375.0,6.0,506.91380870063233,1632439.528727138,534.6688481381028,-27.75503943747047,inf
London,0.75,1650.0,6.0,506.91380870063233,1779927.4344725653,581.465151283776,-74.55134258314364,inf
London,0.875,1925.0,6.0,506.91380870063233,1927415.340217993,628.2614544294493,-121.34764572881691,inf
London,1.0,2200.0,6.0,506.91380870063233,2074903.2459634205,675.0577575751225,-168.14394887449018,inf
Gothenburg,0.25,550.0,2.0,149.3149496069307,1189975.8114908552,394.3057504098859,-244.99080080295522,inf
Gothenburg,0.375,825.0,2.0,149.3149496069307,1337463.7172362828,441.1020535555592,-291.7871039486285,inf
Gothenburg,0.5,1100.0,2.0,149.3149496069307,1484951.6229817104,487.8983567012325,-338.5834070943018,inf
Gothenburg,0.625,1375.0,2.0,149.3149496069307,1632439.528727138,534.6946598469059,-385.37971023997517,inf
Gothenburg,0.75,1650.0,2.0,149.3149496069307,1779927.4344725653,581.4909629925791,-432.17601338564833,inf
Gothenburg,0.875,1925.0,2.0,149.3149496069307,1927415.340217993,628.2872661382523,-478.9723165313216,inf
Gothenburg,1.0,2200.0,2.0,149.3149496069307,2074903.2459634205,675.0835692839256,-525.768619676995,inf
Gothenburg,0.25,550.0,3.0,237.94670051739843,1189975.8114908552,394.1384140450522,-156.19171352765375,inf
Gothenburg,0.375,825.0,3.0,237.94670051739843,1337463.7172362828,440.9347171907255,-202.98801667332708,inf
Gothenburg,0.5,1100.0,3.0,237.94670051739843,1484951.6229817104,487.7310203363988,-249.78431981900036,inf
Gothenburg,0.625,1375.0,3.0,237.94670051739843,1632439.528727138,534.5273234820721,-296.5806229646737,inf
Gothenburg,0.75,1650.0,3.0,237.94670051739843,1779927.4344725653,581.3236266277453,-343.37692611034686,inf
Gothenburg,0.875,1925.0,3.0,237.94670051739843,1927415.340217993,628.1199297734186,-390.17322925602014,inf
Gothenburg,1.0,2200.0,3.0,237.94670051739843,2074903.2459634205,674.9162329190918,-436.9695324016934,inf
Gothenburg,0.25,550.0,4.0,326.6598035779592,1189975.8114908552,394.13598583710797,-67.47618225914874,inf
Gothenburg,0.375,825.0,4.0,326.6598035779592,1337463.7172362828,440.9322889827813,-114.27248540482208,inf
Gothenburg,0.5,1100.0,4.0,326.6598035779592,1484951.6229817104,487.7285921284546,-161.06878855049536,inf
Gothenburg,0.625,1375.0,4.0,326.6598035779592,1632439.528727138,534.524895274128,-207.8650916961687,inf
Gothenburg,0.75,1650.0,4.0,326.6598035779592,1779927.4344725653,581.3211984198011,-254.66139484184185,inf
Gothenburg,0.875,1925.0,4.0,326.6598035779592,1927415.340217993,628.1175015654744,-301.45769798751513,inf
Gothenburg,1.0,2200.0,4.0,326.6598035779592,2074903.2459634205,674.9138047111477,-348.2540011331884,inf
Gothenburg,0.25,550.0,5.0,415.4009362148073,1189975.8114908552,394.13603079796763,21.26490541683965,19.0
Gothenburg,0.375,825.0,5.0,415.4009362148073,1337463.7172362828,440.93233394364097,-25.531397728833685,inf
Gothenburg,0.5,1100.0,5.0,415.4009362148073,1484951.6229817104,487.72863708931425,-72.32770087450696,inf
Gothenburg,0.625,1375.0,5.0,415.4009362148073,1632439.528727138,534.5249402349876,-119.1240040201803,inf
Gothenburg,0.75,1650.0,5.0,415.4009362148073,1779927.4344725653,581.3212433806608,-165.92030716585347,inf
Gothenburg,0.875,1925.0,5.0,415.4009362148073,1927415.340217993,628.1175465263341,-212.71661031152675,inf
Gothenburg,1.0,2200.0,5.0,415.4009362148073,2074903.2459634205,674.9138496720074,-259.5129134572,inf
Gothenburg,0.25,550.0,6.0,504.1632579155627,1189975.8114908552,394.1356409183783,110.02761699718444,12.000000000000016
Gothenburg,0.375,825.0,6.0,504.1632579155627,1337463.7172362828,440.9319440640516,63.2313138515111,15.083333333333371
Gothenburg,0.5,1100.0,6.0,504.1632579155627,1484951.6229817104,487.7282472097249,16.435010705837822,20.16666666666665
Gothenburg,0.625,1375.0,6.0,504.1632579155627,1632439.528727138,534.5245503553982,-30.361292439835513,inf
Gothenburg,0.75,1650.0,6.0,504.1632579155627,1779927.4344725653,581.3208535010714,-77.15759558550867,inf
Gothenburg,0.875,1925.0,6.0,504.1632579155627,1927415.340217993,628.1171566467447,-123.95389873118195,inf
Gothenburg,1.0,2200.0,6.0,504.1632579155627,2074903.2459634205,674.9134597924179,-170.75020187685524,inf
